id_flux,date_reception,type_document,id_adherent,id_contrat,collectivite,statut_flux,statut_ged,date_production,date_depot_ged,mode_envoi,batch_id,duree_traitement_sec
FLX-00001,2024-03-10 22:42:21,CARTE_ADHERENT,ADH-553814,CTR-15592811,Pompiers de Marseille,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240310-01,
FLX-00002,2024-03-26 07:49:40,RELEVÉ_PRESTATIONS,ADH-737475,CTR-11388963,Mairie de Lyon,TRAITE,DEPOSE,2024-03-26 08:46:28,2024-03-26 10:43:28,COURRIER_POSTAL,BATCH-20240310-01,173.0
FLX-00003,2024-01-02 17:12:38,APPEL_COTISATION,ADH-996881,CTR-80737461,Mairie de Paris,TRAITE,DEPOSE,2024-01-02 18:11:28,2024-01-02 18:32:48,DEMATERIALISE,BATCH-20240310-01,169.0
FLX-00004,2024-02-12 01:40:02,APPEL_COTISATION,ADH-651972,CTR-55732548,CCAS de Bordeaux,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240310-01,
FLX-00005,2024-02-23 05:00:03,COURRIER_ADHESION,ADH-692879,CTR-44548262,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-02-23 05:14:52,2024-02-23 06:18:30,DEMATERIALISE,BATCH-20240310-01,103.0
FLX-00006,2024-03-20 01:16:57,COURRIER_ADHESION,ADH-481965,CTR-54924780,Mairie de Toulouse,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240310-01,
FLX-00007,2024-02-22 09:48:24,COURRIER_ADHESION,ADH-833082,CTR-67277667,Pompiers de Marseille,TRAITE,DEPOSE,2024-02-22 09:50:15,2024-02-22 10:10:20,EN_ATTENTE_CHOIX,BATCH-20240310-01,117.0
FLX-00008,2024-03-15 20:24:46,INDU,ADH-364826,CTR-61592428,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-03-15 20:49:39,2024-03-15 21:12:14,DEMATERIALISE,BATCH-20240310-01,158.0
FLX-00009,2024-01-24 03:19:27,APPEL_COTISATION,ADH-211186,CTR-91819267,Mairie de Toulouse,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-24 03:37:44,,DEMATERIALISE,BATCH-20240310-01,138.0
FLX-00010,2024-03-06 07:50:30,APPEL_COTISATION,ADH-867469,CTR-86580169,CCAS de Bordeaux,TRAITE,DEPOSE,2024-03-06 07:57:41,2024-03-06 09:11:29,COURRIER_POSTAL,BATCH-20240310-01,80.0
FLX-00011,2024-02-11 03:54:05,COURRIER_ADHESION,ADH-646120,CTR-73884096,Mairie de Toulouse,TRAITE,DEPOSE,2024-02-11 04:01:46,2024-02-11 05:16:58,DEMATERIALISE,BATCH-20240310-01,19.0
FLX-00012,2024-01-31 17:03:58,RELEVÉ_PRESTATIONS,ADH-641285,CTR-21453095,CCAS de Bordeaux,TRAITE,DEPOSE,2024-01-31 17:34:13,2024-01-31 18:26:31,COURRIER_POSTAL,BATCH-20240310-01,37.0
FLX-00013,2024-03-25 02:28:58,RELANCE,ADH-396784,CTR-15284326,Pompiers de Marseille,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240310-01,
FLX-00014,2024-03-24 18:35:40,COURRIER_ADHESION,ADH-570098,CTR-82478274,SDIS 75,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240310-01,
FLX-00015,2024-03-13 00:11:44,COURRIER_ADHESION,ADH-140491,CTR-23021806,Conseil Départemental du Nord,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-13 00:21:33,,COURRIER_POSTAL,BATCH-20240310-01,372.0
FLX-00016,2024-02-18 04:41:42,COURRIER_ADHESION,ADH-163043,CTR-41450526,Conseil Départemental de la Gironde,TRAITE,DEPOSE,2024-02-18 04:53:48,2024-02-18 05:46:41,DEMATERIALISE,BATCH-20240310-01,153.0
FLX-00017,2024-03-26 14:48:21,COURRIER_ADHESION,ADH-998607,CTR-25440592,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-03-26 15:09:34,2024-03-26 16:43:22,DEMATERIALISE,BATCH-20240310-01,25.0
FLX-00018,2024-03-06 21:09:19,CARTE_ADHERENT,ADH-228568,CTR-72224470,EHPAD Les Magnolias,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-06 21:20:59,,DEMATERIALISE,BATCH-20240310-01,60.0
FLX-00019,2024-02-28 09:18:39,CARTE_ADHERENT,ADH-476394,CTR-26860620,Pompiers de Marseille,TRAITE,DEPOSE,2024-02-28 09:20:17,2024-02-28 10:40:46,DEMATERIALISE,BATCH-20240310-01,160.0
FLX-00020,2024-01-27 03:42:45,COURRIER_ADHESION,ADH-697013,CTR-19747246,SDIS 75,TRAITE,DEPOSE,2024-01-27 03:57:24,2024-01-27 05:13:08,DEMATERIALISE,BATCH-20240310-01,164.0
FLX-00021,2024-02-15 01:54:52,APPEL_COTISATION,ADH-228131,CTR-82448410,Conseil Départemental du Nord,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-15 02:49:40,,COURRIER_POSTAL,BATCH-20240310-01,117.0
FLX-00022,2024-01-08 18:47:11,COURRIER_ADHESION,ADH-145520,CTR-31480114,Conseil Départemental du Nord,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-08 19:09:55,,DEMATERIALISE,BATCH-20240310-01,173.0
FLX-00023,2024-01-17 13:01:07,COURRIER_ADHESION,ADH-425063,CTR-69957139,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-01-17 13:51:53,2024-01-17 14:14:08,DEMATERIALISE,BATCH-20240310-01,142.0
FLX-00024,2024-01-22 04:08:36,CARTE_ADHERENT,ADH-734157,CTR-55478334,Conseil Départemental de la Gironde,TRAITE,DEPOSE,2024-01-22 04:21:32,2024-01-22 04:48:59,DEMATERIALISE,BATCH-20240310-01,30.0
FLX-00025,2024-03-11 17:23:12,CARTE_ADHERENT,ADH-688730,CTR-55058347,Mairie de Lyon,TRAITE,DEPOSE,2024-03-11 18:06:12,2024-03-11 18:13:13,COURRIER_POSTAL,BATCH-20240310-01,179.0
FLX-00026,2024-01-02 07:27:59,RELANCE,ADH-885313,CTR-71108598,CCAS de Bordeaux,TRAITE,DEPOSE,2024-01-02 07:49:25,2024-01-02 08:34:47,COURRIER_POSTAL,BATCH-20240310-01,445.0
FLX-00027,2024-02-29 01:42:28,COURRIER_ADHESION,ADH-252842,CTR-83619688,Conseil Régional de Bretagne,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-29 02:32:01,,DEMATERIALISE,BATCH-20240310-01,100.0
FLX-00028,2024-02-29 13:21:12,CARTE_ADHERENT,ADH-467390,CTR-53526018,EHPAD Les Magnolias,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-29 14:20:42,,DEMATERIALISE,BATCH-20240310-01,100.0
FLX-00029,2024-03-23 02:27:29,APPEL_COTISATION,ADH-802858,CTR-23632125,Mairie de Lyon,TRAITE,DEPOSE,2024-03-23 02:37:06,2024-03-23 03:01:52,DEMATERIALISE,BATCH-20240310-01,93.0
FLX-00030,2024-01-26 06:05:37,COURRIER_ADHESION,ADH-471831,CTR-15805802,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-01-26 06:38:03,2024-01-26 08:18:11,DEMATERIALISE,BATCH-20240310-01,143.0
FLX-00031,2024-01-03 10:42:28,APPEL_COTISATION,ADH-622485,CTR-38600505,Mairie de Lyon,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240310-01,
FLX-00032,2024-01-18 16:06:17,COURRIER_ADHESION,ADH-747735,CTR-98533069,EHPAD Les Magnolias,TRAITE,DEPOSE,2024-01-18 16:21:55,2024-01-18 17:28:35,DEMATERIALISE,BATCH-20240310-01,160.0
FLX-00033,2024-02-19 22:26:00,COURRIER_ADHESION,ADH-685765,CTR-35243009,Pompiers de Marseille,TRAITE,DEPOSE,2024-02-19 23:21:46,2024-02-20 00:47:17,COURRIER_POSTAL,BATCH-20240310-01,166.0
FLX-00034,2024-02-01 09:01:42,RELEVÉ_PRESTATIONS,ADH-624532,CTR-25593665,Conseil Régional de Bretagne,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-02-01 09:57:35,,DEMATERIALISE,BATCH-20240310-01,63.0
FLX-00035,2024-03-23 00:52:12,RELEVÉ_PRESTATIONS,ADH-965885,CTR-17285862,Hôpital Saint-Louis,TRAITE,DEPOSE,2024-03-23 00:53:39,2024-03-23 01:45:23,COURRIER_POSTAL,BATCH-20240310-01,35.0
FLX-00036,2024-03-16 08:10:23,RELANCE,ADH-550953,CTR-19842280,Hôpital Saint-Louis,TRAITE,DEPOSE,2024-03-16 09:02:46,2024-03-16 09:21:23,DEMATERIALISE,BATCH-20240310-01,169.0
FLX-00037,2024-03-19 20:09:21,COURRIER_ADHESION,ADH-277561,CTR-61044163,EHPAD Les Tilleuls,TRAITE,DEPOSE,2024-03-19 20:41:21,2024-03-19 21:14:59,COURRIER_POSTAL,BATCH-20240310-01,33.0
FLX-00038,2024-03-19 18:26:11,COURRIER_ADHESION,ADH-957735,CTR-69098593,CCAS de Bordeaux,TRAITE,DEPOSE,2024-03-19 18:48:35,2024-03-19 19:07:59,COURRIER_POSTAL,BATCH-20240310-01,45.0
FLX-00039,2024-01-03 03:57:05,APPEL_COTISATION,ADH-390534,CTR-53603666,Pompiers de Marseille,TRAITE,DEPOSE,2024-01-03 04:01:29,2024-01-03 04:22:41,EN_ATTENTE_CHOIX,BATCH-20240310-01,92.0
FLX-00040,2024-01-25 16:36:55,CARTE_ADHERENT,ADH-634535,CTR-40736164,Conseil Régional de Bretagne,TRAITE,DEPOSE,2024-01-25 16:56:17,2024-01-25 17:03:16,COURRIER_POSTAL,BATCH-20240310-01,20.0
FLX-00041,2024-02-15 02:46:06,COURRIER_ADHESION,ADH-300123,CTR-90286920,SDIS 75,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240310-01,
FLX-00042,2024-01-23 10:58:24,CARTE_ADHERENT,ADH-815079,CTR-70116445,Mairie de Lyon,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-23 11:49:00,,DEMATERIALISE,BATCH-20240310-01,157.0
FLX-00043,2024-01-20 11:58:33,COURRIER_ADHESION,ADH-527894,CTR-84140338,CCAS de Bordeaux,TRAITE,DEPOSE,2024-01-20 11:59:21,2024-01-20 12:18:08,COURRIER_POSTAL,BATCH-20240310-01,71.0
FLX-00044,2024-03-11 20:32:46,RELEVÉ_PRESTATIONS,ADH-581018,CTR-81273769,Conseil Régional de Bretagne,TRAITE,ECHEC_DEPOT,2024-03-11 21:26:49,,COURRIER_POSTAL,BATCH-20240310-01,42.0
FLX-00045,2024-01-22 12:13:49,COURRIER_ADHESION,ADH-307358,CTR-16485355,Conseil Départemental du Nord,TRAITE,DEPOSE,2024-01-22 12:45:19,2024-01-22 14:31:26,DEMATERIALISE,BATCH-20240310-01,96.0
FLX-00046,2024-03-03 13:59:09,APPEL_COTISATION,ADH-916015,CTR-77915815,CCAS de Bordeaux,TRAITE,DEPOSE,2024-03-03 14:28:31,2024-03-03 15:05:48,COURRIER_POSTAL,BATCH-20240310-01,125.0
FLX-00047,2024-03-20 20:35:46,COURRIER_ADHESION,ADH-616456,CTR-38057391,Pompiers de Marseille,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-20 21:26:59,,DEMATERIALISE,BATCH-20240320-02,124.0
FLX-00048,2024-01-17 04:22:27,CARTE_ADHERENT,ADH-239148,CTR-15229907,EHPAD Les Tilleuls,RECU,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240320-02,
FLX-00049,2024-03-18 19:24:12,CARTE_ADHERENT,ADH-246123,CTR-71706213,Pompiers de Marseille,ERREUR_FORMAT,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240320-02,
FLX-00050,2024-03-29 12:41:44,COURRIER_ADHESION,ADH-497530,CTR-31862507,Mairie de Lyon,TRAITE,DEPOSE,2024-03-29 13:28:07,2024-03-29 14:26:32,DEMATERIALISE,BATCH-20240320-02,71.0
FLX-00051,2024-03-01 04:26:46,RELEVÉ_PRESTATIONS,ADH-652958,CTR-90063803,Hôpital Saint-Louis,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-03-01 04:51:27,,DEMATERIALISE,BATCH-20240320-02,111.0
FLX-00052,2024-01-29 16:16:03,RELANCE,ADH-593973,CTR-35414769,Mairie de Toulouse,EN_TRAITEMENT,EN_ATTENTE_DEPOT,2024-01-29 16:22:31,,COURRIER_POSTAL,BATCH-20240320-02,115.0
FLX-00053,2024-02-15 17:06:57,RELEVÉ_PRESTATIONS,ADH-110236,CTR-91939622,Mairie de Paris,ERREUR_DONNEES,NON_APPLICABLE,,,DEMATERIALISE,BATCH-20240320-02,
FLX-00054,2024-02-03 08:15:25,INDU,ADH-135568,CTR-66090884,Mairie de Toulouse,TRAITE,DEPOSE,2024-02-03 09:10:51,2024-02-03 09:53:30,DEMATERIALISE,BATCH-20240320-02,142.0
FLX-00055,2024-02-15 12:35:36,APPEL_COTISATION,ADH-731615,CTR-79280991,SDIS 75,EN_ATTENTE_DONNEES,NON_APPLICABLE,,,COURRIER_POSTAL,BATCH-20240320-02,
